account_id,follower_count,timestamp,day,cluster_id,cluster_tier,cluster_multiplier,content_quality,reach_24h,likes,comments,shares
1,53246,2024-01-01 08:00:00,0,15,medium,1.004973293027726,0.5004790022204457,491.30317101180185,44,14,5
125,2077,2024-01-01 08:00:00,0,12,medium,0.9303320079749579,0.6029877741063379,1130.7225691049525,43,16,16
126,115928,2024-01-01 08:00:00,0,12,medium,0.9303320079749579,0.43229152906649504,6327.892246942164,343,97,76
133,55827,2024-01-01 08:00:00,0,7,weak,0.5251563387980186,0.7069943388691066,712.3457569712021,35,8,0
134,23824,2024-01-01 08:00:00,0,0,strong,1.6444421370419162,0.0773422402087145,849.5695178759454,139,23,21
136,16094,2024-01-01 08:00:00,0,14,weak,0.5660353019298114,0.6123263258776328,1754.3029022852643,83,27,11
144,21008,2024-01-01 08:00:00,0,4,weak,0.7170110626873821,0.19668497126156143,2629.6697238547154,88,18,3
149,11601,2024-01-01 08:00:00,0,15,medium,1.004973293027726,0.5621982977712219,3304.224671651013,233,87,36
152,59445,2024-01-01 08:00:00,0,15,medium,1.004973293027726,0.8998795141525492,29452.49075036269,2596,723,377
159,45894,2024-01-01 08:00:00,0,17,medium,1.1991848264382745,0.6333240829099992,59461.917255750435,3159,456,341
161,128034,2024-01-01 08:00:00,0,7,weak,0.5251563387980186,0.30602658612116795,10605.380481452123,435,154,13
165,54368,2024-01-01 08:00:00,0,15,medium,1.004973293027726,0.636816454793313,10075.416344406252,954,208,143
177,27630,2024-01-01 08:00:00,0,11,weak,0.6138917368153555,0.7835622946934144,5300.870793927448,146,80,27
178,4418,2024-01-01 08:00:00,0,12,medium,0.9303320079749579,0.5616769447844335,292.5662785893698,14,4,3
179,101948,2024-01-01 08:00:00,0,8,weak,0.6225024375087379,0.7788701710448231,11699.394105093785,539,71,22
185,12498,2024-01-01 08:00:00,0,1,medium,0.9642066561450202,0.8453132791005472,11809.833411292922,1286,272,141
187,512862,2024-01-01 08:00:00,0,17,medium,1.1991848264382745,0.2674542589179085,53218.97002434412,2839,419,394
190,76410,2024-01-01 08:00:00,0,14,weak,0.5660353019298114,0.3017210818250664,4698.4393562295245,208,61,29
198,103349,2024-01-01 08:00:00,0,19,strong,1.342960220819816,0.9000840662310722,73835.31623160472,6867,759,812
199,2514,2024-01-01 08:00:00,0,8,weak,0.6225024375087379,0.858106712507385,769.3116175117075,40,4,1
123,15688,2024-01-01 08:00:00,0,3,strong,1.5930503233038356,0.2035287703841199,1045.9060453416052,63,10,6
122,15728,2024-01-01 08:00:00,0,11,weak,0.6138917368153555,0.6568275564784516,1676.1126090218918,48,17,11
147,2432,2024-01-01 08:00:00,0,9,weak,0.6458972338226908,0.2934003334208098,234.73808358139962,10,1,1
101,29807,2024-01-01 08:00:00,0,12,medium,0.9303320079749579,0.022222522895519507,25.096544403663504,1,0,0
3,88650,2024-01-01 08:00:00,0,12,medium,0.9303320079749579,0.5735877771182994,8717.474668294675,340,131,96
117,125574,2024-01-01 08:00:00,0,18,strong,1.3469450415996582,0.6804800867795961,24325.912038057246,1122,204,296
9,20478,2024-01-01 08:00:00,0,14,weak,0.5660353019298114,0.17108763294963936,1889.9632667907324,103,24,14
12,16634,2024-01-01 08:00:00,0,19,strong,1.342960220819816,0.2607632767042656,1403.2638995997781,151,12,15
15,18710,2024-01-01 08:00:00,0,0,strong,1.6444421370419162,0.6000050926106804,17450.141768795027,2653,583,379
19,110788,2024-01-01 08:00:00,0,4,weak,0.7170110626873821,0.9423416738814927,51258.42408551984,1718,350,85
36,8920,2024-01-01 08:00:00,0,6,medium,1.0485538432295316,0.8832486322745545,480.65745230531564,20,11,1
37,23060,2024-01-01 08:00:00,0,18,strong,1.3469450415996582,0.4891957939265432,16943.108304009576,679,136,204
45,6102,2024-01-01 08:00:00,0,3,strong,1.5930503233038356,0.9104059991715838,20686.04952218785,1613,266,174
47,46825,2024-01-01 08:00:00,0,11,weak,0.6138917368153555,0.19694596474263676,2057.071393443129,59,22,10
8,20635,2024-01-01 08:00:00,0,12,medium,0.9303320079749579,0.6245604260350969,4634.288593840898,231,65,62
54,65540,2024-01-01 08:00:00,0,2,medium,0.9529304658240961,0.5441860584500543,18190.07926347152,1348,225,183
